RP, 75, 192
KL, 73, 172
HI, 46, 184
TI, 88, 161
VZ, 66, 162
SI, 66, 170
NZ, 54, 194
WG, 75, 144
JG, 83, 163
UB, 84, 141
AP, 51, 180
WV, 42, 185
OY, 93, 173
SW, 77, 153
WO, 87, 173
PU, 64, 165
DB, 81, 180
UA, 86, 163
RZ, 49, 194
DB, 57, 191
WY, 94, 153
PU, 64, 177
FD, 59, 147
RO, 89, 174
AJ, 89, 178
KT, 45, 190
DG, 48, 149
CZ, 42, 194
SU, 67, 171
PM, 49, 198
AU, 94, 174
SP, 41, 160
QK, 97, 170
WQ, 78, 190
MX, 85, 182
HP, 74, 159
OX, 80, 141
DV, 78, 169
DD, 62, 178
QP, 44, 193
YH, 88, 150
TW, 88, 173
GQ, 54, 160
LB, 45, 192
TS, 42, 194
DL, 72, 191
OM, 90, 187
YI, 85, 189
TL, 95, 173
BL, 88, 193
LA, 51, 159
EM, 67, 150
AE, 67, 150
QY, 97, 176
HZ, 64, 184
YC, 82, 165
YC, 69, 157
SW, 89, 151
BE, 79, 153
VZ, 47, 178
LV, 63, 140
SZ, 73, 172
OS, 68, 185
LW, 46, 140
RF, 62, 144
TP, 90, 165
JJ, 46, 178
PV, 61, 190
ML, 94, 152
LH, 43, 145
RF, 71, 182
WN, 85, 162
PE, 49, 197
KH, 64, 175
WG, 75, 145
CA, 54, 190
OH, 53, 155
NI, 99, 189
NH, 92, 145
RY, 82, 194
VG, 58, 140
HJ, 44, 182
RR, 47, 182
TR, 43, 193
LX, 77, 176
GN, 43, 176
CA, 96, 199
LW, 52, 182
JT, 73, 183
BN, 87, 181
XE, 52, 165
LX, 73, 171
EX, 97, 164
FB, 63, 182
GT, 41, 175
JR, 43, 165
ND, 72, 181
DW, 76, 161
MA, 68, 179
VZ, 49, 142
QV, 97, 187
SL, 59, 167
NI, 96, 199
TP, 86, 141
SN, 60, 169
KT, 76, 157
FE, 43, 178
FA, 79, 189
GB, 52, 197
PI, 77, 192
OB, 75, 144
XG, 65, 146
QB, 81, 181
MD, 91, 154
PL, 92, 162
CM, 78, 157
IN, 52, 152
BA, 49, 157
RN, 81, 164
OT, 57, 155
KV, 55, 152
NR, 85, 166
GO, 67, 143
NE, 58, 178
NV, 61, 146
AN, 42, 185
QG, 75, 197
HN, 49, 152
XF, 83, 142
SY, 95, 162
JR, 95, 150
SP, 95, 140
XT, 58, 165
SW, 57, 155
ET, 42, 170
FG, 42, 190
GT, 50, 153
GR, 67, 157
SU, 46, 192
PJ, 60, 168
GM, 53, 178
WW, 54, 182
ZU, 48, 162
JY, 76, 189
TL, 69, 170
CM, 71, 157
MQ, 78, 191
XV, 76, 199
VY, 59, 182
AF, 94, 161
ZX, 74, 145
IU, 59, 182
XE, 57, 199
SJ, 52, 180
FV, 80, 181
GS, 87, 147
QA, 54, 193
IP, 50, 198
UU, 44, 153
BO, 71, 167
PT, 72, 174
EO, 89, 153
WK, 56, 192
RX, 57, 195
DD, 96, 153
WB, 55, 195
ZI, 88, 162
IS, 50, 140
PA, 86, 173
ES, 90, 182
NM, 40, 182
GU, 54, 177
MT, 82, 184
OH, 64, 168
VQ, 77, 162
YU, 71, 153
